generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
314,144109.000000,55893.000000,36,2327.014129,6012229.690429,30.845723,0.919437,6,2,4,84
315,131073.000000,68929.000000,28,2778.420156,3405324.953695,31.021299,0.726686,6,2,4,105
316,142223.000000,57779.000000,47,1818.470510,1437122.694153,30.003135,0.727015,6,2,4,87
317,123612.000000,76390.000000,34,4182.179939,8660816.513826,28.246275,0.957926,6,2,4,106
318,132617.000000,67385.000000,35,3179.201192,7548953.124235,28.355180,0.948849,6,2,4,96
319,122530.000000,77472.000000,30,1875.840177,1005230.931062,33.305940,0.755223,6,2,4,90
320,128510.000000,71492.000000,39,3347.279842,4650218.505432,30.812510,0.717203,6,2,4,91
321,115334.000000,84668.000000,25,2488.106649,1864473.874810,32.466192,0.752856,6,2,4,98
322,127585.000000,72417.000000,29,1581.776108,894669.644289,34.636738,0.624702,6,2,4,104
323,131185.000000,68817.000000,34,3786.507706,9786454.189515,29.691746,0.898424,6,2,4,94
324,133696.000000,66306.000000,40,2925.886725,6448042.807914,30.122392,0.872246,6,2,4,79
325,135617.000000,64385.000000,41,2256.826364,1673368.996730,28.881892,0.789623,6,2,4,81
326,130940.000000,69062.000000,37,1931.085349,2411711.282788,32.686340,0.658349,6,2,4,85
327,133369.000000,66633.000000,39,1807.757299,1272927.022891,29.729609,0.862117,6,2,4,90
328,126905.000000,73097.000000,30,8234.920107,69495163.376117,28.796196,0.867391,6,2,4,93
329,139039.000000,60963.000000,41,2416.885683,2353398.836335,30.366517,0.731122,6,2,4,94
330,139848.000000,60154.000000,43,3434.804713,6467712.713508,29.849452,0.850110,6,2,4,86
331,134391.000000,65611.000000,34,2840.351671,3439989.729975,28.821786,0.758350,6,2,4,98
332,127420.000000,72582.000000,34,1460.616273,682447.880748,32.875122,0.649974,6,2,4,85
333,122421.000000,77581.000000,21,2913.056262,4304165.447142,32.501257,0.771115,6,2,4,101
334,118748.000000,81254.000000,29,2544.017908,3186987.105501,33.540539,0.635565,6,2,4,95
335,126556.000000,73446.000000,33,2676.116567,2186323.511936,29.719385,0.893525,6,2,4,92
336,132898.000000,67104.000000,35,3278.859472,2832959.133263,29.148350,0.958316,6,2,4,88
337,117851.000000,82151.000000,25,7387.605036,31546628.321275,31.521253,0.929112,6,2,4,94
338,136745.000000,63257.000000,42,2710.819004,4745932.084907,28.347443,0.923466,6,2,4,83
339,130759.000000,69243.000000,35,2096.989030,2090354.972164,30.099046,0.743869,6,2,4,96
340,138489.000000,61513.000000,43,1361.680990,485105.307941,29.327723,0.849325,6,2,4,87
341,130684.000000,69318.000000,34,1959.702430,909887.510135,31.917497,0.752388,6,2,4,94
342,141883.000000,58119.000000,37,1388.380333,562067.180430,30.630832,0.715266,6,2,4,87
343,119036.000000,80966.000000,29,2984.304483,6081576.119417,33.178491,0.675260,6,2,4,85
344,126737.000000,73265.000000,34,2227.063524,1174012.045205,33.307570,0.689323,6,2,4,93
345,121067.000000,78935.000000,33,1680.297411,777261.379023,33.963183,0.683470,6,2,4,87
346,138836.000000,61166.000000,37,1774.248756,1663290.112509,31.303828,0.706444,6,2,4,84
347,131036.000000,68966.000000,37,2264.429502,3615980.345246,31.747585,0.757191,6,2,4,93
348,125700.000000,74302.000000,31,1148.112593,297099.764504,32.587152,0.711988,6,2,4,94
349,124272.000000,75730.000000,17,4299.209492,12110857.216105,29.828591,1.014384,5,2,4,111
350,132978.000000,67024.000000,33,16054.273602,242126380.784984,24.668062,1.361940,3,2,4,113
351,129720.000000,70282.000000,24,14262.419435,180301610.135891,25.282468,1.376662,3,2,4,112
352,114160.000000,85842.000000,18,13584.234832,100015603.023418,29.577178,1.013594,3,2,4,114
353,135060.000000,64942.000000,40,4745.064318,17412534.234464,26.067472,1.369476,3,2,4,91
354,145609.000000,54393.000000,46,29028.837897,410791000.723302,18.061566,3.067921,4,1,4,139
355,123002.000000,77000.000000,29,24460.059485,308229699.863641,19.874780,2.542263,4,1,4,135
356,141866.000000,58136.000000,40,25745.406728,310780319.722725,17.949297,3.236173,4,1,4,128
357,144167.000000,55835.000000,46,26091.334616,313156850.222968,18.693169,2.945851,4,1,4,129
358,140005.000000,59997.000000,43,22695.342671,255360604.377370,18.227311,3.578606,4,1,4,151
359,123536.000000,76466.000000,24,27352.593297,397563759.038961,18.004038,3.223213,4,1,4,141
360,118505.000000,81497.000000,24,24796.612965,217357544.256828,20.145252,2.597143,4,1,4,135
361,150121.000000,49881.000000,41,27368.749728,400551365.158673,17.594243,2.946731,4,1,4,148
362,126333.000000,73669.000000,33,27319.042819,333918841.882071,19.506386,3.330980,4,1,4,140
363,125619.000000,74383.000000,31,24179.806086,280844531.529797,17.923027,3.286367,4,1,4,138
364,126073.000000,73929.000000,29,24945.653272,336316506.701632,16.178768,4.166827,4,1,4,166
365,140749.000000,59253.000000,49,25290.304815,229203874.199916,13.731899,6.297461,4,1,4,136
366,123546.000000,76456.000000,32,21841.414659,273769548.114617,14.062348,6.895910,4,1,4,171
367,112961.000000,87041.000000,23,21149.704251,336335321.864502,13.431337,6.672912,3,1,4,162
368,127397.000000,72605.000000,32,26481.566150,305273648.544876,14.971776,6.044667,3,1,4,140
369,129995.000000,70007.000000,38,19624.411879,169007707.566193,14.000171,6.834465,3,1,4,135
370,133866.000000,66136.000000,39,21428.322836,279524795.346791,14.061450,7.544206,3,1,4,161
371,152961.000000,47041.000000,54,27913.002476,303385879.334945,13.349156,7.324092,3,1,4,147
372,140795.000000,59207.000000,44,19392.077931,202117575.339381,14.127775,7.459761,3,1,4,138
373,124565.000000,75437.000000,32,25377.399342,290051630.445080,13.357913,6.822878,3,1,4,167
374,131580.000000,68422.000000,35,18068.763335,224923491.298405,14.643754,7.013268,3,1,4,149
375,120029.000000,79973.000000,26,23353.876670,301524608.978859,14.380207,5.936999,3,1,4,161
376,131554.000000,68448.000000,35,21396.537874,250343754.478806,14.082042,6.690708,3,1,4,162
377,137826.000000,62176.000000,39,26443.681484,271526515.114177,13.797965,6.414575,3,1,4,162
378,135769.000000,64233.000000,42,21987.094983,249958231.177327,14.802719,7.059441,3,1,4,128
379,129212.000000,70790.000000,36,22601.289507,183556854.516467,13.917115,6.783538,3,1,4,154
380,132827.000000,67175.000000,38,31973.695596,289286113.076214,15.459899,7.533713,3,0,4,135
381,133470.000000,66532.000000,36,26611.659297,445782369.783701,13.956936,7.448702,3,0,5,151
382,137353.000000,62649.000000,48,21817.528338,241064522.471829,13.160345,7.957218,3,0,5,144
383,139555.000000,60447.000000,43,25780.304132,240435385.706330,14.484579,6.055896,2,0,5,135
384,118311.000000,81691.000000,31,19046.544696,143901733.877305,14.309386,6.095729,2,0,5,143
385,131803.000000,68199.000000,42,22543.956511,254387564.809993,13.253784,9.112929,2,0,5,119
386,126652.000000,73350.000000,40,20033.444539,156679232.409902,13.983033,8.843303,2,0,5,139
387,137970.000000,62032.000000,48,24971.063508,332692387.161230,14.387678,6.663916,2,0,5,129
388,139048.000000,60954.000000,41,23379.838616,256808710.883246,14.257496,6.154469,2,0,5,124
389,140435.000000,59567.000000,44,23259.323766,257134984.686351,13.066973,7.642669,2,0,5,117
390,141484.000000,58518.000000,43,25066.071175,347579842.624611,13.828231,7.286520,2,0,5,127
391,144413.000000,55589.000000,50,26251.083475,332359247.884182,13.398944,8.465622,2,0,5,147
392,144209.000000,55793.000000,51,23887.581640,380883203.623558,13.509332,8.503364,2,0,5,137
393,140977.000000,59025.000000,43,23370.642606,321754524.843217,12.936917,8.654984,2,0,5,139
394,137196.000000,62806.000000,46,23428.936915,291387727.308857,13.419635,8.615770,2,0,5,121
395,138151.000000,61851.000000,43,27428.351561,364309755.920344,14.481360,6.108154,2,0,5,140
396,155610.000000,44392.000000,61,35413.453267,319371840.450978,13.492560,6.439501,3,0,5,134
397,153038.000000,46964.000000,58,27936.745765,294276922.237765,13.940925,6.177730,3,0,5,116
398,153673.000000,46329.000000,59,29331.985065,258000663.178271,13.796192,6.112568,3,0,5,126
399,155430.000000,44572.000000,65,27273.841785,256745077.895721,13.450339,7.136078,3,0,5,113
400,136037.000000,63965.000000,45,33154.990691,283526586.215025,14.973942,6.726617,3,0,5,129
401,144714.000000,55288.000000,54,29188.843853,211278147.179916,13.339613,7.209016,3,0,5,124
402,157113.000000,42889.000000,57,29108.590111,310810157.338638,14.290630,5.249024,3,0,5,124
403,155179.000000,44823.000000,51,33617.463823,425573680.135912,15.665304,4.475913,3,0,5,134
404,146173.000000,53829.000000,52,28804.824101,303282714.013480,15.746284,4.542273,3,0,5,141
405,131600.000000,68402.000000,36,28547.607523,426944076.061268,16.397443,4.084550,3,0,5,150
406,155619.000000,44383.000000,55,28963.193605,421119004.631822,17.124167,3.465027,3,0,5,118
407,134741.000000,65261.000000,46,31406.293879,373715741.216315,16.814575,3.757243,3,0,5,132
408,137725.000000,62277.000000,48,23548.563882,266711764.678389,19.028562,3.329857,3,0,5,114
409,133334.000000,66668.000000,38,30411.157397,374875601.413106,19.257184,3.121962,3,0,5,132
410,140694.000000,59308.000000,44,30077.480382,373214232.694791,17.586520,3.072705,3,0,5,132
411,147955.000000,52047.000000,42,26423.475203,355659490.633684,17.601280,3.213391,3,0,5,116
412,139150.000000,60852.000000,52,30179.889921,281333520.762438,16.399308,6.452677,4,0,5,127
413,124630.000000,75372.000000,33,19522.391020,223493379.302165,15.888489,5.335267,4,0,5,139
414,136740.000000,63262.000000,46,27813.905503,346378372.417898,17.458846,4.596165,4,0,5,152
415,146086.000000,53916.000000,52,22276.922283,311569571.080148,16.382905,5.205146,4,0,5,107
416,128115.000000,71887.000000,40,22005.817046,178838302.731202,19.241107,6.406046,4,0,5,135
417,127468.000000,72534.000000,40,28889.348503,340752164.928131,21.328694,4.452982,4,0,5,103
418,131885.000000,68117.000000,35,18952.571334,333321603.550733,19.689516,4.471076,4,0,5,118
419,146777.000000,53225.000000,52,8424.837265,44562039.770764,22.448925,4.087162,4,0,5,90
420,147021.000000,52981.000000,57,14360.302113,156835953.311775,15.362790,8.880493,4,0,4,115
421,144620.000000,55382.000000,57,29010.952717,357017196.733311,16.073616,12.131952,4,0,4,122
422,142426.000000,57576.000000,51,23766.080936,257449865.199073,16.316522,7.483192,4,0,4,95
423,139753.000000,60249.000000,52,3889.945494,11673115.749170,18.380977,6.417923,4,0,4,113
424,116286.000000,83716.000000,34,10578.118805,143594834.158345,16.690411,5.650845,4,0,4,137
425,130332.000000,69670.000000,44,4809.138065,15787521.775772,20.198833,8.378762,3,0,4,113
426,135455.000000,64547.000000,49,4116.804948,33707629.772630,16.178611,9.967283,3,0,4,110
427,139095.000000,60907.000000,51,4000.548532,10124348.978140,18.434681,9.562034,3,0,4,109
428,127724.000000,72278.000000,44,9680.381224,121188247.430013,18.263020,9.540910,3,0,4,107
429,138958.000000,61044.000000,57,9102.193255,86588373.104053,18.621996,14.662012,3,0,4,112
430,152193.000000,47809.000000,61,5105.362305,70249675.272133,17.511962,15.420299,3,0,4,118
431,118611.000000,81391.000000,37,19881.715731,362558388.576931,16.071309,12.886391,3,0,4,153
432,134947.000000,65055.000000,47,14850.807488,376745233.628559,17.404550,13.545859,3,0,4,128
433,132795.000000,67207.000000,48,4946.974968,22704482.791802,20.069780,8.385132,3,0,4,115
434,141026.000000,58976.000000,54,14071.888520,144299665.221741,16.189148,14.604667,3,0,4,129
435,157094.000000,42908.000000,63,5137.338439,29005313.583497,16.706062,9.375240,3,0,4,112
436,140171.000000,59831.000000,49,4792.854816,11231078.977264,18.477696,10.317284,3,0,4,116
437,146246.000000,53756.000000,50,3151.851689,5826640.919605,18.094693,10.561474,3,0,4,113
438,138889.000000,61113.000000,57,6998.487661,22081676.106078,18.752398,10.286773,3,0,4,119
439,129278.000000,70724.000000,44,4415.020348,17599606.487350,18.638114,7.358062,3,0,4,126
440,142316.000000,57686.000000,53,4468.996326,11924070.438403,18.698027,13.203958,3,0,4,110
441,129909.000000,70093.000000,40,12414.209866,86120043.635156,19.635604,8.240125,3,0,4,110
442,136437.000000,63565.000000,42,5432.254201,23572796.313786,18.087788,8.815468,3,0,4,120
443,134013.000000,65989.000000,45,3943.125710,12582240.090730,17.794408,6.778997,3,0,4,127
444,119673.000000,80329.000000,35,4341.870604,14679001.080248,18.804377,8.172540,3,0,4,144
445,145042.000000,54960.000000,53,4443.849671,14546706.392239,18.905425,8.843126,3,0,4,111
446,142459.000000,57543.000000,52,3723.889725,16075820.101839,17.984433,8.645714,3,0,4,117
